Суп с картофелем и вермишелью,52,4,4,2
морковь по-корейски леор,110,2,8,8
Салат морковь по-корейски Рестория шеф,100,2,8,7
Изделия кулинарные готовые с ветчиной и сыром Чебупели Горячая штучка,230,8,31,8
Салат фруктовый,50,0.7,12,0.1
Салат Свекла с чесноком и сметаной,62,2,6,2
Курица запеченая в сметане,74,6,4,4
Шаурма со свининой,193,7,21,13
Брокколи тушеная,64,3,7,2
картофель запечённый в духовке в фольге,100,2,17,2
Наггетсы куриные с сыром Мираторг,207,12,17,10
Пшеная каша на молоке,115,4,14,5
Том Ям с морепродуктами,97,4,13,6
Уха из горбуши,38,2,4,1
гречка с курицей и овощами,119,8,10,5
Молочный суп с вермишелью,76,2,10,2
Суп-лапша домашний,50,1,6,2
кашка овсяные хлопья с клубникой со сливками Минутка Кунцево,340,10,66,4
Пирог с капустой,208,6,15,14
Гречка по купечески,132,8,12,6
Салат чука из морских водорослей Санта Бремор,140,0.9,8,12
салат из свежей капусты с морковью и яблоком,74,2,5,5
Пельмени с начинкой из куриного фарша,275,12,29,9
Вареники с вишней,182,4,39,0.9
Овсяная каша без варки с молоком черника Mollis,360,10,66,5
Салатный микс руккола шпинат Зелена грядка,67,2,6,3
Сальтисон куриный Петруха,130,11,0,9
Рис с мясом,183,12,20,9
лагман с говядиной,92,4,12,3
Вареники с картошкой и грибами,150,5,27,2
кабачок запеченый в духовке,24,1,4,0.3
Лаваш с яйцом и сыром,219,11,23,9
сырники 5% из зерненого творога,214,14,18,10
Гречка с подливой,127,2,13,6
Спагетти болоньезе,191,10,19,10
Бульмени с говядиной и свининой со сливочным маслом Мясная галерея Горячая Штучка,251,9,29,11
Манная каша на молоке с маслом и сахаром,180,4,22,8
Блины с творогом Мираторг,170,7,20,7
Салат из пекинской капусты с огурцами и горошком,68,2,4,4
Салат из морской капусты Дальневосточный Fish house,53,2,5,3
Куриные котлеты пп,115,13,2,6
Студень праздничный Брестский мясокомбинат,55,8,0.1,2
Донер с курицей,174,9,14,9
пеперони фреш большая традиционное тесто Додо пицца,243,10,0,9
Онигири с креветкой Фуджи,124,11,21,2
Уха из форели,34,3,4,0.5
Изделия кулинарные готовые сочные с мясом Чебупели Горячая штучка,280,11,39,8
Роллы с сыром и лососем,190,13,17,8
Гречневая крупа в пакетах для варки Селяночка,360,13,72,2
Хлебцы цельнозерновые минские Санте Дары планеты,310,12,60,2
Драники с фаршем,148,6,12,9
Грибной суп с плавленым сырком,88,6,8,5
Бутерброд с авокадо,207,0.8,15,14
Салатный микс Легкий день Зелена грядка,17,1,2,0.2
Венигрет Реми,115,2,11,7
Жаркое по-домашнему,108,5,10,5
"салат ( огурцы, помидоры, капуста, майонез)",69,2,4,5
Картошка с мясом по французски,196,9,10,14
Макароны с сосисками,183,6,50,10
Куриная грудка запеченная с сыром,122,20,2,3
макароны с мясом и овощами,131,6,14,6
Бутерброд с колбасой и огурцом,235,9,17,14
Чипсы картофельные со вкусом сметаны и лука Люкс,522,6,51,33
катлета на пару,192,15,4,12
пшеная каша на воде,105,3,19,0.77
Плов с индейкой,123,11,24,4
Свекла тушеная,53,2,10,0.7
Курица с грибами в сливках,113,17,2,4
Творог с бананом,121,10,12,3
"Салат из капусты, огурцов и помидоров и зелени",58,1,4,4
Суп с фрикадельками (свинина) и лапшой.,79,5,2,6
Картошка тушеная с грибами,67,2,9,2
чипсы супер рифление грибы в сливочном  ----е Lays maxx,520,6,53,32
Тыквенная каша с пшеном на молоке,104,4,16,2
паштет печеночный с маслом,300,9,0,29
Салат из курицы с ананасом,170,7,3,15
Мясные подушечки Боярские Брестский мясокомбинат,250,9,26,12
Пюре Яблоко-груша-слива для детского питания Сады придонья,48,0,12,0
Салат из пекинской капусты с майонезом,145,3,12,10
Гречка с овощами,98,3,24,5
Окрошка на кефире,47,3,4,2
Хотстеры Горячая штучка,239,8,19,13
 на перепелиных яйцах Слобода,610,0.5,1,67
борщ с говядиной и картофелем,143,10,4,10
Салат из морских водорослей маринованных Чука с ореховым  ----ом Санта Бремор,93,3,12,4
Биток Куриный Сильпо,183,19,0,12
Налисники с творогом,164,7,14,9
Горчица крепкая Торчин,162,6,15,7
салат с тунцом и овощами,143,2,4,13
Гуакамоле,149,2,5,13
Овощной суп с чечевицей,59,3,7,2
Кускус с овощами без масла,98,4,9,0.59
Капуста тушеная с сосисками,83,3,5,6
Сырники Галя Балувана,211,16,18,8
"Подлива (мука, лук, морковь, томатная паста)",30,1,6,0.2
Жареный лаваш с сыром и помидором,273,10,19,11
суп картофельный с курицей,56,3,8,1
Крабовый салат без риса с майонезом,123,7,8,7
Купаты куриные,216,15,0.16,16
"салат из морской капусты, моркови, сельдерея",54,2,8,2
Крем-суп тыквенный,58,0.9,7,3
Курица с сыром и помидорами в духовке запеченная,130,20,1,5
Пицца домашняя на дрожжевом тесте с овощами и колбасой,219,9,15,14
Картошка с мясом (свинина),94,7,2,6
Французский хот-дог,296,10,18,15
Щи из квашеной капусты с картофелем,32,0.6,3,2
Котлеты из говядины в духовке,185,19,3,14
Картошка запечённая в сметане,75,2,15,0.8
Рис с морковью,100,2,16,4
Драники с мясом,188,5,13,15
Салат оливье классический Лента,164,3,6,14
Бутерброд с куриными паштетом,166,6,5,13
буряк отв+майонез+чеснок,123,2,10,8
Суп рассольник с курицей Вкусвилл,45,3,3,2
Пельмени Потешки мясные подушечки Брестский мясокомбинат,241,10,26,11
Лапша быстрого приготовления со вкусом сыра и зелени Reeva,420,8,51,20
Овощи итальянские Kuveg,36,2,5,0.3
котлета из куриного филе,175,23,0,12
творожная запеканка диетическая,119,14,7,3
Тост с сыром,191,1,23,9
Борщ на курином бульоне с зажаркой,46,3,5,2
"Пюре фруктовое из яблок, шиповника и клюквы Дары Кубани",45,0,11,0
Каша ячневая с маслом,129,4,28,4
Подлива из курицы,88,4,7,4
бутерброды с маслом и сёмгой,262,16,18,15
булка с маслом,260,5,27,15
Суп овощной на курином бульоне,41,3,3,2
Спаржа соевая по-корейски Рестория шеф,94,10,9,2
Пюре быстрого приготовления картофельное с мясным вкусом Роллтон Rollton,370,6,67,8
"Салат из свежей капусты, моркови и свеклы",81,1,7,5
овсяные хлопья экстра №1 Новокаша,360,13,64,6
 72% Европейский Торчин,669,0.5,4,72
Воппер Бургер Кинг Burger King,230,8,19,13
Пюре яблочно-банановое без добавления сахара стерилизованное ABC ЭКО Будь здоров,45,0.3,11,0.1
Куриный бульон с макаронами,76,4,12,1
Сосиска в лаваше,256,3,20,20
Печенка с луком,85,9,1,5
Перловый суп,41,2,6,1
Жаркое с курицей,114,12,10,4
Лазанья Болоньезе с сыром в  ----е Бешамель Мираторг,149,7,15,7
Тунец макрелевый натуральный куски Фрегат,110,26,0,1
шашлычный Щедро,108,1,25,0
Тост с маслом,264,8,27,14
Окрошка на воде со сметаной,53,2,4,3
Бутерброд с икрой,253,12,19,15
макароны с курицей варенные,214,12,27,7
Гречка с тушенкой,196,7,29,13
Гречка с грибами,126,3,20,3
Уха из лосося,51,6,5,0.2
Оладушки на кефире,254,6,36,10
Рис пропаренный длиннозерный шлифованный Бабушкина кухня,360,7,82,0.3
Котлеты гречаники,203,12,17,9
Кашка 5 злаков молочная с персиком перед сном Фрутоняня,70,2,10,2
Блины Французские с курицей замороженные Своя Линия,129,6,22,2
Сухарики пшенично-ржаные во вкусом красная икра Флинт Flint,423,11,75,8
 ---- шашлычный с ароматной зеленью Слобода,88,2,20,0
Карпаччо из индейки Черкизово,154,34,0,2
Нагетсы с ветчиной жареные Мираторг,210,13,18,10
Морква по-корейски Фора,114,0.7,9,8
Горчица французская АВС,210,8,19,11
